화약,뇌관,암석분류,SR SD,CR SD,최대입자속도
에멀젼C,전기,화성암,47.36,40.21,0.15
에멀젼C,전기,화성암,35.93,30.51,0.34
에멀젼C,전기,화성암,16.4,15.63,0.35
에멀젼C,전기,화성암,15.01,14.31,0.78
에멀젼C,전기,화성암,17.32,16.51,0.38
에멀젼C,전기,화성암,24.6,23.44,0.68
에멀젼C,전기,화성암,38.34,36.54,0.07
에멀젼C,전기,화성암,25.4,24.21,0.165
에멀젼C,전기,화성암,18.48,17.61,0.483
에멀젼C,전기,화성암,28.0,22.22,0.2
에멀젼C,전기,화성암,25.2,20.0,0.4
에멀젼C,전기,화성암,29.6,23.49,0.2
에멀젼C,전기,화성암,44.8,35.56,0.1
에멀젼C,전기,화성암,68.0,53.97,0.05
에멀젼C,전기,화성암,41.4,32.86,0.114
에멀젼C,전기,화성암,33.6,26.67,0.17800000000000002
에멀젼C,전기,화성암,28.4,22.54,0.1
에멀젼C,전기,화성암,25.2,20.0,0.15
에멀젼C,전기,화성암,29.6,23.49,0.22
에멀젼C,전기,화성암,46.0,36.51,0.27
에멀젼C,전기,화성암,68.4,54.29,0.07
에멀젼C,전기,화성암,42.0,33.34,0.14
에멀젼C,전기,화성암,33.0,26.19,0.273
에멀젼C,전기,화성암,35.11,26.85,0.1
에멀젼C,전기,화성암,25.71,19.66,0.2
에멀젼C,전기,화성암,27.5,21.03,0.12
에멀젼C,전기,화성암,50.54,38.65,0.17
에멀젼C,전기,화성암,77.59,59.34,0.05
에멀젼C,전기,화성암,38.01,29.07,0.095
에멀젼C,전기,화성암,31.75,24.28,0.25
에멀젼C,전기,화성암,33.99,25.99,0.25
에멀젼C,전기,화성암,47.85,36.59,0.15
에멀젼C,전기,화성암,46.51,35.57,0.45
에멀젼C,전기,화성암,72.0,55.06,0.07
에멀젼C,전기,화성암,60.82,46.51,0.064
에멀젼C,전기,화성암,34.88,26.68,0.21600000000000003
에멀젼C,전기,화성암,51.43,39.33,0.09699999999999999
에멀젼C,전기,화성암,19.8,17.64,0.1
에멀젼C,전기,화성암,16.55,14.74,0.3
